subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testDemog5,Fish,flyingfish,needlefish,right,left,flying__11,aneed__13
testDemog5,Cats,manx,persian,right,left,manx__9,persian__n02123394_719
testDemog5,Cats,manx,siamese,left,right,manx__9,siamese__5
testDemog5,Planes,gyroplane,stealth,right,left,gyro__n02759387_1590_obj1,stealth__n04308084_1788_obj1
testDemog5,Planes,delta,gyroplane,left,right,delta__n03174079_9575,gyro__n02759387_1590_obj1
testDemog5,Boats,galleon,sailboat,right,left,galleon__g5,sail__n04128499_1933
testDemog5,Fish,angelfish,clownfish,right,left,angel__n02605936_34,clown__fish10
testDemog5,Fish,angelfish,sturgeon,left,right,angel__n02605936_34,sturgeon__10
testDemog5,Dogs,chihuahua,welsh,left,right,chihuahua__n02085620_921_obj1,welsh__n02112826_165_obj1
testDemog5,Cars,antique,sedan,right,left,antique__n03777568_267,sedan__n04166281_50
testDemog5,Cats,abyssinian,sphynx,right,left,abyss__n02124313_305,spyhnx___cats_main
testDemog5,Dogs,malamute,schipperke,left,right,malamute__n02110063_4432_obj1,schipperke__n02104365_6395_obj1
testDemog5,Planes,biplane,seaplane,left,right,biplane__n02842573_6752_obj1,seaplane__n04160586_6391_obj1
testDemog5,Trains,monorail,tram,right,left,mono__m3,tram__n04335435_1332
testDemog5,Bird,hen,ostrich,right,left,hen__n01514859_10911,ost__n01518878_4095
testDemog5,Dogs,malamute,pug,right,left,malamute__n02110063_4432_obj1,pug__n02110958_13256_obj1
testDemog5,Boats,aircraftcarrier,icebreaker,left,right,carriern02687172_2074,icebreaker__i5
testDemog5,Bird,hummingbird,vulture,right,left,humming__n01833805_4244,vulture__n01616318_12313
testDemog5,Cats,egyptian,persian,right,left,egyptian__n02124075_2308,persian__n02123394_719
testDemog5,Fish,clownfish,goldfish,right,left,clown__fish10,gold__10
testDemog5,Dogs,chihuahua,malamute,right,left,chihuahua__n02085620_921_obj1,malamute__n02110063_4432_obj1
testDemog5,Planes,delta,glider,right,left,delta__n03174079_9575,glider__n03439814_16089
testDemog5,Boats,canoe,galleon,right,left,canoe__c4,galleon__g5
testDemog5,Trains,commutertrain,tram,left,right,commuter__n03078802_261,tram__n04335435_1332
testDemog5,Boats,battleship,sailboat,right,left,battle__b4,sail__n04128499_1933
testDemog5,Boats,canoe,icebreaker,left,right,canoe__c4,icebreaker__i5
testDemog5,Bird,hen,hummingbird,right,left,hen__n01514859_10911,humming__n01833805_4244
testDemog5,Cats,manx,sphynx,right,left,manx__9,spyhnx___cats_main
testDemog5,Trains,bullettrain,commutertrain,right,left,bullet__n02917067_137,commuter__n03078802_261
testDemog5,Bird,cockateel,owl,left,right,cockateel__n01819734_6005,owl__n01625562_5638
testDemog5,Fish,needlefish,sturgeon,right,left,aneed__13,sturgeon__10
testDemog5,Bird,cockateel,hummingbird,right,left,cockateel__n01819734_6005,humming__n01833805_4244
testDemog5,Bird,cockateel,ostrich,left,right,cockateel__n01819734_6005,ost__n01518878_4095
testDemog5,Cars,limousine,stationwagon,left,right,limo__n03670208_647,wagon__n02814533_1040
testDemog5,Trains,freighttrain,inclinerailway,right,left,freight__n03394480_1805,incline__i14
testDemog5,Bird,hawk,swan,right,left,hawk__n01605630_6305,swan__n01858441_7116
testDemog5,Trains,tram,trolley,left,right,tram__n04335435_1332,trolley__n04469813_3284
testDemog5,Fish,clownfish,needlefish,left,right,clown__fish10,aneed__13
testDemog5,Boats,icebreaker,rowboat,left,right,icebreaker__i5,row__n03199901_1404
testDemog5,Dogs,mastiff,schnauzer,right,left,mastiff__n02108254_10063_obj1,schnauzer__n02096756_10651_obj1
testDemog5,Planes,airliner,biplane,left,right,airliner__a3,biplane__n02842573_6752_obj1
testDemog5,Bird,hummingbird,swan,left,right,humming__n01833805_4244,swan__n01858441_7116
testDemog5,Boats,canoe,sailboat,left,right,canoe__c4,sail__n04128499_1933
testDemog5,Cats,angora,manx,right,left,angora__5,manx__9
testDemog5,Dogs,pug,welsh,left,right,pug__n02110958_13256_obj1,welsh__n02112826_165_obj1
testDemog5,Dogs,pug,schipperke,right,left,pug__n02110958_13256_obj1,schipperke__n02104365_6395_obj1
testDemog5,Boats,canoe,cruiseliner,left,right,canoe__c4,cruise__n03141327_484
testDemog5,Bird,ostrich,swan,right,left,ost__n01518878_4095,swan__n01858441_7116
testDemog5,Dogs,pug,schnauzer,left,right,pug__n02110958_13256_obj1,schnauzer__n02096756_10651_obj1
testDemog5,Fish,goldfish,pufferfish,left,right,gold__10,puffer__8
testDemog5,Dogs,komondor,schnauzer,left,right,komondor__n02105505_3634_obj1,schnauzer__n02096756_10651_obj1
testDemog5,Bird,ostrich,owl,left,right,ost__n01518878_4095,owl__n01625562_5638
testDemog5,Trains,freighttrain,subway,right,left,freight__n03394480_1805,subway__n04349306_1442
testDemog5,Planes,biplane,glider,right,left,biplane__n02842573_6752_obj1,glider__n03439814_16089
testDemog5,Cats,egyptian,tortishell,left,right,egyptian__n02124075_2308,tort__n02123242_867
testDemog5,Bird,cockateel,swan,right,left,cockateel__n01819734_6005,swan__n01858441_7116
testDemog5,Dogs,malamute,welsh,left,right,malamute__n02110063_4432_obj1,welsh__n02112826_165_obj1
testDemog5,Bird,ostrich,vulture,left,right,ost__n01518878_4095,vulture__n01616318_12313
testDemog5,Bird,owl,vulture,right,left,owl__n01625562_5638,vulture__n01616318_12313
testDemog5,Cats,siamese,sphynx,right,left,siamese__5,spyhnx___cats_main
testDemog5,Fish,catfish,goldfish,right,left,catfish__12,gold__10
testDemog5,Cats,egyptian,sphynx,right,left,egyptian__n02124075_2308,spyhnx___cats_main
testDemog5,Cars,racecar,sedan,left,right,racing__n04037443_428,sedan__n04166281_50
testDemog5,Cars,mini,minivan,right,left,mini__n03770085_276,mvan__n03770679_35
testDemog5,Bird,hawk,owl,left,right,hawk__n01605630_6305,owl__n01625562_5638
testDemog5,Cars,antique,limousine,left,right,antique__n03777568_267,limo__n03670208_647
testDemog5,Bird,hawk,hummingbird,left,right,hawk__n01605630_6305,humming__n01833805_4244
testDemog5,Bird,owl,swan,right,left,owl__n01625562_5638,swan__n01858441_7116
testDemog5,Planes,airliner,glider,left,right,airliner__a3,glider__n03439814_16089
testDemog5,Boats,cruiseliner,icebreaker,right,left,cruise__n03141327_484,icebreaker__i5
testDemog5,Fish,catfish,pufferfish,right,left,catfish__12,puffer__8
testDemog5,Boats,battleship,canoe,left,right,battle__b4,canoe__c4
testDemog5,Planes,airliner,delta,right,left,airliner__a3,delta__n03174079_9575
testDemog5,Fish,catfish,needlefish,left,right,catfish__12,aneed__13
testDemog5,Fish,flyingfish,sturgeon,left,right,flying__11,sturgeon__10
testDemog5,Cars,sedan,sportscar,right,left,sedan__n04166281_50,sports__n04285008_783
testDemog5,Cats,persian,sphynx,right,left,persian__n02123394_719,spyhnx___cats_main
testDemog5,Fish,catfish,clownfish,right,left,catfish__12,clown__fish10
testDemog5,Dogs,chihuahua,mastiff,left,right,chihuahua__n02085620_921_obj1,mastiff__n02108254_10063_obj1
testDemog5,Planes,seaplane,stealth,left,right,seaplane__n04160586_6391_obj1,stealth__n04308084_1788_obj1
testDemog5,Cars,antique,stationwagon,left,right,antique__n03777568_267,wagon__n02814533_1040
testDemog5,Dogs,schipperke,schnauzer,right,left,schipperke__n02104365_6395_obj1,schnauzer__n02096756_10651_obj1
testDemog5,Bird,cockateel,hawk,right,left,cockateel__n01819734_6005,hawk__n01605630_6305
testDemog5,Dogs,komondor,schipperke,right,left,komondor__n02105505_3634_obj1,schipperke__n02104365_6395_obj1
testDemog5,Planes,airliner,seaplane,right,left,airliner__a3,seaplane__n04160586_6391_obj1
testDemog5,Cats,abyssinian,angora,right,left,abyss__n02124313_305,angora__5
testDemog5,Cars,minivan,stationwagon,right,left,mvan__n03770679_35,wagon__n02814533_1040
testDemog5,Boats,cruiseliner,sailboat,right,left,cruise__n03141327_484,sail__n04128499_1933
testDemog5,Boats,galleon,icebreaker,right,left,galleon__g5,icebreaker__i5
testDemog5,Bird,hawk,ostrich,right,left,hawk__n01605630_6305,ost__n01518878_4095
testDemog5,Planes,delta,fighter,left,right,delta__n03174079_9575,fighter__n03335030_9897_obj1
testDemog5,Cars,minivan,sedan,left,right,mvan__n03770679_35,sedan__n04166281_50
testDemog5,Boats,rowboat,sailboat,left,right,row__n03199901_1404,sail__n04128499_1933
testDemog5,Planes,fighter,stealth,left,right,fighter__n03335030_9897_obj1,stealth__n04308084_1788_obj1
testDemog5,Cars,minivan,racecar,right,left,mvan__n03770679_35,racing__n04037443_428
testDemog5,Bird,hawk,hen,right,left,hawk__n01605630_6305,hen__n01514859_10911
testDemog5,Cars,limousine,minivan,right,left,limo__n03670208_647,mvan__n03770679_35
testDemog5,Trains,commutertrain,monorail,right,left,commuter__n03078802_261,mono__m3
testDemog5,Planes,airliner,gyroplane,left,right,airliner__a3,gyro__n02759387_1590_obj1
testDemog5,Trains,commutertrain,inclinerailway,left,right,commuter__n03078802_261,incline__i14
testDemog5,Bird,hen,owl,left,right,hen__n01514859_10911,owl__n01625562_5638
testDemog5,Planes,biplane,fighter,left,right,biplane__n02842573_6752_obj1,fighter__n03335030_9897_obj1
testDemog5,Boats,aircraftcarrier,galleon,left,right,carriern02687172_2074,galleon__g5
testDemog5,Trains,commutertrain,freighttrain,right,left,commuter__n03078802_261,freight__n03394480_1805
testDemog5,Cats,abyssinian,manx,left,right,abyss__n02124313_305,manx__9
testDemog5,Boats,aircraftcarrier,canoe,right,left,carriern02687172_2074,canoe__c4
testDemog5,Boats,cruiseliner,rowboat,left,right,cruise__n03141327_484,row__n03199901_1404
testDemog5,Trains,freighttrain,trolley,left,right,freight__n03394480_1805,trolley__n04469813_3284
testDemog5,Boats,battleship,cruiseliner,right,left,battle__b4,cruise__n03141327_484
testDemog5,Cars,racecar,stationwagon,left,right,racing__n04037443_428,wagon__n02814533_1040
testDemog5,Planes,delta,seaplane,right,left,delta__n03174079_9575,seaplane__n04160586_6391_obj1
testDemog5,Dogs,schipperke,welsh,left,right,schipperke__n02104365_6395_obj1,welsh__n02112826_165_obj1
testDemog5,Dogs,komondor,welsh,left,right,komondor__n02105505_3634_obj1,welsh__n02112826_165_obj1
testDemog5,Dogs,chihuahua,schnauzer,left,right,chihuahua__n02085620_921_obj1,schnauzer__n02096756_10651_obj1
testDemog5,Dogs,komondor,malamute,right,left,komondor__n02105505_3634_obj1,malamute__n02110063_4432_obj1
testDemog5,Dogs,malamute,mastiff,right,left,malamute__n02110063_4432_obj1,mastiff__n02108254_10063_obj1
testDemog5,Trains,subway,trolley,right,left,subway__n04349306_1442,trolley__n04469813_3284
testDemog5,Fish,pufferfish,sturgeon,left,right,puffer__8,sturgeon__10
testDemog5,Boats,aircraftcarrier,battleship,left,right,carriern02687172_2074,battle__b4
testDemog5,Fish,goldfish,sturgeon,left,right,gold__10,sturgeon__10
testDemog5,Boats,battleship,galleon,left,right,battle__b4,galleon__g5
testDemog5,Cars,minivan,sportscar,left,right,mvan__n03770679_35,sports__n04285008_783
testDemog5,Cats,manx,tortishell,left,right,manx__9,tort__n02123242_867
