subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testSafari2,Fish,flyingfish,pufferfish,left,right,flying__6,puffer__2
testSafari2,Dogs,komondor,malamute,left,right,komondor__n02105505_2992_obj1,malamute__n02110063_1034_obj1
testSafari2,Trains,freighttrain,trolley,left,right,freight__n03394480_2710,trolley__n04469813_3827
testSafari2,Dogs,mastiff,welsh,left,right,mastiff__n02108254_6555_obj1,welsh__n02112826_9485_obj1
testSafari2,Cars,sportscar,stationwagon,left,right,sports__n04285008_573,wagon__n02814533_330
testSafari2,Dogs,mastiff,schipperke,left,right,mastiff__n02108254_6555_obj1,schipperke__n02104365_10606_obj1
testSafari2,Cars,minivan,sportscar,left,right,mvan__n03770679_59,sports__n04285008_573
testSafari2,Planes,airliner,gyroplane,left,right,airliner__a6,gyro__n02759387_5379_obj1
testSafari2,Planes,biplane,gyroplane,left,right,biplane__n02842573_4750_obj1,gyro__n02759387_5379_obj1
testSafari2,Fish,angelfish,sturgeon,right,left,angel__2,sturgeon__3
testSafari2,Bird,hawk,hen,left,right,hawk__6,hen__n01514859_2221
testSafari2,Trains,inclinerailway,monorail,right,left,incline__i15,mono__m4
testSafari2,Boats,cruiseliner,galleon,left,right,cruise__n4,galleon__n03411339_6291
testSafari2,Dogs,malamute,mastiff,right,left,malamute__n02110063_1034_obj1,mastiff__n02108254_6555_obj1
testSafari2,Planes,biplane,fighter,right,left,biplane__n02842573_4750_obj1,fighter__n03335030_6806_obj1
testSafari2,Planes,fighter,glider,left,right,fighter__n03335030_6806_obj1,glider__n03439814_18055
testSafari2,Dogs,malamute,welsh,left,right,malamute__n02110063_1034_obj1,welsh__n02112826_9485_obj1
testSafari2,Trains,commutertrain,tram,right,left,commuter__n03078802_288,tram__n04335435_1691
testSafari2,Planes,delta,glider,right,left,delta__n03174079_5058,glider__n03439814_18055
testSafari2,Fish,angelfish,needlefish,left,right,angel__2,aneed__7
testSafari2,Dogs,pug,schnauzer,right,left,pug__n02110958_353_obj1,schnauzer__n02096756_6747_obj1
testSafari2,Fish,catfish,clownfish,left,right,catfish__6,clown__fish8
testSafari2,Cars,sedan,sportscar,right,left,sedan__n04166281_73,sports__n04285008_573
