subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testSubj2,Bird,hawk,ostrich,right,left,hawk__2,ost__2
testSubj2,Trains,monorail,trolley,left,right,mono__monorail01,trolley__n04469813_1363
testSubj2,Trains,freighttrain,monorail,right,left,freight__n03394480_209,mono__monorail01
testSubj2,Boats,battleship,canoe,right,left,battle__n02812201_334,canoe__n02951358_2654
testSubj2,Cats,sphynx,tortishell,right,left,spyhnx__3,tort__n02123242_10929
testSubj2,Bird,hawk,hummingbird,left,right,hawk__2,humming__2
testSubj2,Boats,battleship,galleon,left,right,battle__n02812201_334,galleon__n03411339_6447
testSubj2,Boats,canoe,rowboat,left,right,canoe__n02951358_2654,row__r8
testSubj2,Planes,airliner,fighter,left,right,airliner__n02690373_6285_obj1,fighter__n03335030_2892_obj1
testSubj2,Bird,cockateel,hen,right,left,cockateel__2,hen__2
testSubj2,Cars,sedan,stationwagon,right,left,sedan__n04166281_739,wagon__n02814533_211
testSubj2,Dogs,malamute,pug,right,left,malamute__n02110063_1034_obj1,pug__n02110958_353_obj1
testSubj2,Trains,commutertrain,monorail,left,right,commuter__n03078802_418,mono__monorail01
testSubj2,Cars,antique,minivan,right,left,antique__n03777568_242,mvan__n03770679_461
testSubj2,Fish,angelfish,pufferfish,left,right,angel__4,puffer__4
testSubj2,Fish,catfish,pufferfish,right,left,catfish__8,puffer__4
testSubj2,Cats,manx,sphynx,left,right,manx__4,spyhnx__3
testSubj2,Boats,rowboat,sailboat,right,left,row__r8,sail__s5
testSubj2,Boats,aircraftcarrier,galleon,left,right,carriern02687172_1509,galleon__n03411339_6447
testSubj2,Cars,limousine,sedan,left,right,limo__n03670208_1086,sedan__n04166281_739
testSubj2,Cats,abyssinian,siamese,left,right,abyss__n02124313_105,siamese__n02123597_4586
testSubj2,Bird,swan,vulture,left,right,swan__2,vulture__3
testSubj2,Trains,commutertrain,tram,left,right,commuter__n03078802_418,tram__n04335435_235
testSubj2,Cars,mini,sportscar,left,right,mini__n03770085_949,sports__n04285008_312
testSubj2,Cars,antique,stationwagon,right,left,antique__n03777568_242,wagon__n02814533_211
testSubj2,Cars,limousine,stationwagon,left,right,limo__n03670208_1086,wagon__n02814533_211
testSubj2,Cats,persian,siamese,left,right,persian__n02123394_2429,siamese__n02123597_4586
testSubj2,Fish,clownfish,flyingfish,right,left,clown__fish1,flying__7
testSubj2,Planes,biplane,seaplane,left,right,biplane__n02842573_702_obj1,seaplane__n04160586_16578_obj1
