subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
aseuae,Boats,canoe,cruiseliner,right,left,canoe__n02951358_2654,cruise__n5
aseuae,Trains,commutertrain,inclinerailway,left,right,commuter__n03078802_319,incline__i16
aseuae,Fish,flyingfish,sturgeon,left,right,flying__6,sturgeon__3
aseuae,Planes,delta,stealth,left,right,delta__n03174079_5496,stealth__n04308084_3800_obj1
aseuae,Cats,persian,sphynx,left,right,persian__n02123394_2274,spyhnx__
aseuae,Boats,galleon,sailboat,right,left,galleon__n03411339_6447,sail__s5
aseuae,Boats,battleship,rowboat,left,right,battle__n02812201_334,row__r8
aseuae,Boats,aircraftcarrier,rowboat,left,right,carriern02687172_1509,row__r8
aseuae,Fish,flyingfish,needlefish,right,left,flying__6,aneed__7
aseuae,Dogs,chihuahua,mastiff,right,left,chihuahua__n02085620_7436_obj1,mastiff__n02108254_10310_obj1
aseuae,Cats,egyptian,sphynx,left,right,egyptian__3,spyhnx__
aseuae,Bird,hen,vulture,right,left,hen__1,vulture__2
aseuae,Dogs,mastiff,schnauzer,right,left,mastiff__n02108254_10310_obj1,schnauzer__n02096756_13469_obj1
aseuae,Cats,angora,manx,left,right,angora__n02123478_2121,manx__6
aseuae,Fish,needlefish,pufferfish,left,right,aneed__7,puffer__2
aseuae,Fish,angelfish,flyingfish,left,right,angel__2,flying__6
aseuae,Dogs,komondor,malamute,left,right,komondor__n02105505_46_obj1,malamute__n02110063_4103_obj1
aseuae,Fish,clownfish,flyingfish,right,left,clown__fish8,flying__6
aseuae,Cats,egyptian,persian,left,right,egyptian__3,persian__n02123394_2274
aseuae,Cats,egyptian,tortishell,right,left,egyptian__3,tort__n02123242_1310
aseuae,Cats,angora,siamese,left,right,angora__n02123478_2121,siamese__n02123597_5127
aseuae,Bird,hen,swan,left,right,hen__1,swan__1
aseuae,Boats,battleship,sailboat,left,right,battle__n02812201_334,sail__s5
aseuae,Planes,airliner,seaplane,left,right,airliner__a7,seaplane__n04160586_2413_obj1
aseuae,Dogs,chihuahua,komondor,left,right,chihuahua__n02085620_7436_obj1,komondor__n02105505_46_obj1
aseuae,Cars,antique,racecar,left,right,antique__n03777568_242,racing__n04037443_232
aseuae,Planes,airliner,fighter,left,right,airliner__a7,fighter__n03335030_6845_obj1
aseuae,Cars,minivan,sedan,left,right,mvan__n03770679_461,sedan__n04166281_739
aseuae,Planes,fighter,stealth,right,left,fighter__n03335030_6845_obj1,stealth__n04308084_3800_obj1
aseuae,Trains,monorail,tram,right,left,mono__monorail_dl,tram__n04335435_1701
aseuae,Cars,mini,minivan,right,left,mini__n03770085_949,mvan__n03770679_461
aseuae,Boats,cruiseliner,rowboat,right,left,cruise__n5,row__r8
aseuae,Fish,flyingfish,pufferfish,right,left,flying__6,puffer__2
aseuae,Fish,angelfish,catfish,right,left,angel__2,catfish__6
aseuae,Bird,cockateel,vulture,left,right,cockateel__1,vulture__2
aseuae,Dogs,malamute,mastiff,left,right,malamute__n02110063_4103_obj1,mastiff__n02108254_10310_obj1
aseuae,Fish,angelfish,goldfish,right,left,angel__2,gold__3
aseuae,Bird,ostrich,vulture,right,left,ost__1,vulture__2
aseuae,Dogs,pug,schnauzer,right,left,pug__n02110958_12692_obj1,schnauzer__n02096756_13469_obj1
aseuae,Cars,sedan,stationwagon,left,right,sedan__n04166281_739,wagon__n02814533_211
aseuae,Cats,abyssinian,egyptian,right,left,abyss__n02124313_1669,egyptian__3
aseuae,Bird,cockateel,owl,left,right,cockateel__1,owl__1
aseuae,Fish,clownfish,needlefish,left,right,clown__fish8,aneed__7
aseuae,Planes,biplane,stealth,left,right,biplane__n02842573_5496_obj1,stealth__n04308084_3800_obj1
aseuae,Planes,seaplane,stealth,right,left,seaplane__n04160586_2413_obj1,stealth__n04308084_3800_obj1
aseuae,Fish,catfish,sturgeon,left,right,catfish__6,sturgeon__3
aseuae,Trains,commutertrain,monorail,right,left,commuter__n03078802_319,mono__monorail_dl
aseuae,Bird,ostrich,owl,right,left,ost__1,owl__1
aseuae,Bird,cockateel,hen,right,left,cockateel__1,hen__1
aseuae,Cats,manx,persian,right,left,manx__6,persian__n02123394_2274
aseuae,Planes,airliner,stealth,right,left,airliner__a7,stealth__n04308084_3800_obj1
aseuae,Dogs,chihuahua,welsh,right,left,chihuahua__n02085620_7436_obj1,welsh__n02112826_13237_obj1
aseuae,Trains,monorail,trolley,right,left,mono__monorail_dl,trolley__n04469813_890
aseuae,Fish,angelfish,sturgeon,left,right,angel__2,sturgeon__3
