subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testDemog4,Fish,catfish,pufferfish,right,left,catfish__5,puffer__9
testDemog4,Cats,angora,sphynx,left,right,angora__n02123478_3147,spyhnx__troy-snow-blue-spyhnx-300
testDemog4,Cars,mini,racecar,right,left,mini__n03770085_951,racing__n04037443_233
testDemog4,Planes,glider,stealth,right,left,glider__n03439814_18055,stealth__a16
testDemog4,Fish,flyingfish,pufferfish,right,left,flying__2,puffer__9
testDemog4,Cats,sphynx,tortishell,right,left,spyhnx__troy-snow-blue-spyhnx-300,tort__tshell2
testDemog4,Bird,hen,owl,left,right,hen__n01514859_5530,owl__n01625562_3461
testDemog4,Fish,angelfish,clownfish,left,right,angel__n02605936_196,clown__fish11
testDemog4,Cars,sedan,sportscar,right,left,sedan__n04166281_784,sports__n04285008_392
testDemog4,Trains,bullettrain,monorail,left,right,bullet__n02917067_314,mono__monorail-red
testDemog4,Fish,angelfish,pufferfish,left,right,angel__n02605936_196,puffer__9
testDemog4,Fish,angelfish,sturgeon,left,right,angel__n02605936_196,sturgeon__2
testDemog4,Cats,abyssinian,persian,left,right,abyss__n02124313_909,persian__n02123394_8860
testDemog4,Trains,tram,trolley,left,right,tram__n04335435_209,trolley__n04469813_1062
testDemog4,Boats,canoe,icebreaker,left,right,canoe__c1,icebreaker__i1
testDemog4,Fish,pufferfish,sturgeon,right,left,puffer__9,sturgeon__2
testDemog4,Dogs,komondor,pug,left,right,komondor__n02105505_2548_obj1,pug__n02110958_8979_obj1
testDemog4,Boats,battleship,icebreaker,right,left,battle__b1,icebreaker__i1
testDemog4,Trains,freighttrain,inclinerailway,left,right,freight__n03394480_104,incline__INCLINE1
testDemog4,Planes,airliner,fighter,left,right,airliner__a6,fighter__n03335030_6806_obj1
testDemog4,Fish,catfish,clownfish,right,left,catfish__5,clown__fish11
testDemog4,Trains,monorail,tram,left,right,mono__monorail-red,tram__n04335435_209
testDemog4,Cars,minivan,racecar,right,left,mvan__n03770679_505,racing__n04037443_233
testDemog4,Bird,hummingbird,owl,right,left,humming__n01833805_4222,owl__n01625562_3461
testDemog4,Cats,siamese,sphynx,right,left,siamese__n02123597_1192,spyhnx__troy-snow-blue-spyhnx-300
testDemog4,Boats,battleship,cruiseliner,right,left,battle__b1,cruise__n7
testDemog4,Fish,angelfish,needlefish,right,left,angel__n02605936_196,aneed__6
testDemog4,Bird,hummingbird,swan,left,right,humming__n01833805_4222,swan__n01858441_6813
testDemog4,Cats,angora,manx,left,right,angora__n02123478_3147,manx__n02124484_8756
testDemog4,Cats,egyptian,persian,right,left,egyptian__n02124075_1121,persian__n02123394_8860
testDemog4,Boats,battleship,sailboat,right,left,battle__b1,sail__n04128499_2119
testDemog4,Dogs,komondor,schnauzer,right,left,komondor__n02105505_2548_obj1,schnauzer__n02096756_5000_obj1
testDemog4,Cats,egyptian,sphynx,left,right,egyptian__n02124075_1121,spyhnx__troy-snow-blue-spyhnx-300
testDemog4,Planes,delta,glider,right,left,delta__n03174079_5058,glider__n03439814_18055
testDemog4,Fish,flyingfish,sturgeon,left,right,flying__2,sturgeon__2
testDemog4,Trains,commutertrain,tram,right,left,commuter__n03078802_388,tram__n04335435_209
testDemog4,Trains,subway,trolley,right,left,subway__n04349306_532,trolley__n04469813_1062
testDemog4,Cats,abyssinian,tortishell,right,left,abyss__n02124313_909,tort__tshell2
testDemog4,Planes,delta,fighter,left,right,delta__n03174079_5058,fighter__n03335030_6806_obj1
testDemog4,Boats,rowboat,sailboat,right,left,row__n03199901_3493,sail__n04128499_2119
testDemog4,Trains,subway,tram,left,right,subway__n04349306_532,tram__n04335435_209
testDemog4,Fish,needlefish,pufferfish,left,right,aneed__6,puffer__9
testDemog4,Cars,antique,sedan,right,left,antique__n03777568_308,sedan__n04166281_784
testDemog4,Planes,biplane,gyroplane,right,left,biplane__n02842573_4750_obj1,gyro__n02759387_5379_obj1
testDemog4,Cars,antique,stationwagon,right,left,antique__n03777568_308,wagon__n02814533_248
testDemog4,Boats,cruiseliner,rowboat,left,right,cruise__n7,row__n03199901_3493
