subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
subjCode,Bird,ostrich,vulture,left,right,ost__n01518878_8812,vulture__n01616318_1589
subjCode,Dogs,komondor,welsh,left,right,komondor__n02105505_3967_obj1,welsh__n02112826_477_obj1
subjCode,Cars,limousine,sportscar,right,left,limo__n03670208_21,sports__n04285008_392
subjCode,Planes,gyroplane,seaplane,left,right,gyro__n02759387_17633_obj1,seaplane__n04160586_22359_obj1
subjCode,Boats,battleship,cruiseliner,right,left,battle__n02812201_830,cruise__n1
subjCode,Boats,battleship,sailboat,right,left,battle__n02812201_830,sail__s4
subjCode,Trains,bullettrain,inclinerailway,right,left,bullet__n02917067_281,incline__i15
subjCode,Cats,abyssinian,angora,left,right,abyss__n02124313_1022,angora__n02123478_7454
subjCode,Boats,aircraftcarrier,sailboat,left,right,carriern02687172_1960,sail__s4
subjCode,Trains,commutertrain,trolley,right,left,commuter__n03078802_288,trolley__n04469813_3827
subjCode,Boats,cruiseliner,sailboat,left,right,cruise__n1,sail__s4
subjCode,Cars,sportscar,stationwagon,left,right,sports__n04285008_392,wagon__n02814533_248
subjCode,Cars,minivan,racecar,right,left,mvan__n03770679_505,racing__n04037443_233
subjCode,Cats,angora,sphynx,left,right,angora__n02123478_7454,spyhnx__208spyhnxwithtoyashx
subjCode,Boats,aircraftcarrier,cruiseliner,right,left,carriern02687172_1960,cruise__n1
subjCode,Trains,subway,tram,right,left,subway__n04349306_1551,tram__n04335435_1691
subjCode,Fish,clownfish,pufferfish,right,left,clown__fish6,puffer__5
subjCode,Trains,freighttrain,subway,left,right,freight__n03394480_2710,subway__n04349306_1551
subjCode,Bird,hen,hummingbird,left,right,hen__n01514859_1689,humming__n01833805_592
subjCode,Boats,battleship,galleon,left,right,battle__n02812201_830,galleon__n03411339_770
subjCode,Dogs,komondor,mastiff,left,right,komondor__n02105505_3967_obj1,mastiff__n02108254_133_obj1
subjCode,Bird,hen,ostrich,right,left,hen__n01514859_1689,ost__n01518878_8812
subjCode,Cats,abyssinian,manx,left,right,abyss__n02124313_1022,manx__3
subjCode,Fish,catfish,sturgeon,left,right,catfish__9,sturgeon__7
