subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testDemog3,Cats,manx,siamese,right,left,manx__11,siamese__n02123597_6398
testDemog3,Trains,bullettrain,subway,left,right,bullet__n02917067_29,subway__n04349306_860
testDemog3,Cars,racecar,sportscar,left,right,racing__n04037443_1251,sports__n04285008_2280
testDemog3,Cats,persian,siamese,left,right,persian__n02123394_1036,siamese__n02123597_6398
testDemog3,Dogs,malamute,schipperke,left,right,malamute__n02110063_14895_obj1,schipperke__n02104365_6732_obj1
testDemog3,Planes,delta,gyroplane,right,left,delta__n03174079_4062,gyro__n02759387_17666_obj1
testDemog3,Cats,egyptian,persian,left,right,egyptian__n02124075_2080,persian__n02123394_1036
testDemog3,Boats,canoe,icebreaker,left,right,canoe__n02951358_863,icebreaker__i10
testDemog3,Cats,persian,tortishell,right,left,persian__n02123394_1036,tort__n02123242_1137
testDemog3,Fish,needlefish,sturgeon,right,left,aneed__n02549989_1641,sturgeon__n02640242_999
testDemog3,Fish,catfish,pufferfish,right,left,catfish__n02517442_214,puffer__n02655020_696
testDemog3,Boats,icebreaker,rowboat,right,left,icebreaker__i10,row__r3
testDemog3,Planes,biplane,fighter,right,left,biplane__n02842573_14961_obj1,fighter__a2
testDemog3,Trains,commutertrain,trolley,right,left,commuter__n03078802_89,trolley__n04335435_1959
testDemog3,Boats,galleon,sailboat,left,right,galleon__n03411339_4256,sail__s9
testDemog3,Cars,antique,stationwagon,left,right,antique__n03777568_319,wagon__n02814533_982
testDemog3,Fish,catfish,sturgeon,left,right,catfish__n02517442_214,sturgeon__n02640242_999
testDemog3,Bird,cockateel,hummingbird,left,right,cockateel__n01819734_12942,humming__n01833805_2650
testDemog3,Fish,flyingfish,sturgeon,left,right,flying__n02550460_5072,sturgeon__n02640242_999
testDemog3,Fish,pufferfish,sturgeon,left,right,puffer__n02655020_696,sturgeon__n02640242_999
testDemog3,Planes,airliner,gyroplane,left,right,airliner__a2,gyro__n02759387_17666_obj1
testDemog3,Dogs,komondor,mastiff,right,left,komondor__n02105505_4115_obj1,mastiff__n02108254_10209_obj1
testDemog3,Fish,clownfish,flyingfish,right,left,clown__fish3,flying__n02550460_5072
testDemog3,Cars,minivan,sedan,right,left,mvan__n03770679_536,sedan__n04166281_623
testDemog3,Cars,racecar,stationwagon,right,left,racing__n04037443_1251,wagon__n02814533_982
testDemog3,Fish,angelfish,clownfish,right,left,angel__n02605936_856,clown__fish3
testDemog3,Bird,ostrich,vulture,right,left,ost__8,vulture__n01616318_2501
testDemog3,Cars,sportscar,stationwagon,right,left,sports__n04285008_2280,wagon__n02814533_982
testDemog3,Dogs,pug,schipperke,left,right,pug__n02110958_14996_obj1,schipperke__n02104365_6732_obj1
testDemog3,Boats,battleship,galleon,right,left,battle__n02812201_1154,galleon__n03411339_4256
testDemog3,Cats,siamese,sphynx,left,right,siamese__n02123597_6398,spyhnx__2
testDemog3,Planes,biplane,gyroplane,right,left,biplane__n02842573_14961_obj1,gyro__n02759387_17666_obj1
testDemog3,Bird,hawk,owl,left,right,hawk__n01605630_6816,owl__n01625562_887
testDemog3,Boats,canoe,galleon,right,left,canoe__n02951358_863,galleon__n03411339_4256
testDemog3,Cats,manx,persian,left,right,manx__11,persian__n02123394_1036
testDemog3,Trains,bullettrain,trolley,right,left,bullet__n02917067_29,trolley__n04335435_1959
testDemog3,Dogs,komondor,pug,left,right,komondor__n02105505_4115_obj1,pug__n02110958_14996_obj1
testDemog3,Cats,angora,sphynx,left,right,angora__n02123478_6579,spyhnx__2
testDemog3,Bird,hen,owl,right,left,hen__n01514859_195,owl__n01625562_887
testDemog3,Fish,flyingfish,goldfish,left,right,flying__n02550460_5072,gold__n01443537_522
testDemog3,Fish,angelfish,catfish,left,right,angel__n02605936_856,catfish__n02517442_214
testDemog3,Dogs,chihuahua,schnauzer,right,left,chihuahua__n02085620_4016_obj1,schnauzer__n02096756_11067_obj1
testDemog3,Fish,needlefish,pufferfish,right,left,aneed__n02549989_1641,puffer__n02655020_696
testDemog3,Cars,mini,sedan,left,right,mini__n03770085_79,sedan__n04166281_623
testDemog3,Cars,limousine,sportscar,right,left,limo__n03670208_521,sports__n04285008_2280
testDemog3,Fish,clownfish,pufferfish,right,left,clown__fish3,puffer__n02655020_696
