subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testDemog6,Cats,sphynx,tortishell,right,left,spyhnx__-kitten-hungry,tort__n02123242_14533
testDemog6,Bird,hawk,vulture,left,right,hawk__n01605630_14899,vulture__n01616318_2262
testDemog6,Fish,angelfish,goldfish,right,left,angel__4,gold__5
testDemog6,Bird,hummingbird,vulture,right,left,humming__n01833805_1795,vulture__n01616318_2262
testDemog6,Trains,commutertrain,trolley,left,right,commuter__n03078802_261,trolley__n04469813_3284
testDemog6,Planes,biplane,glider,right,left,biplane__n02842573_21012_obj1,glider__n03439814_9440
testDemog6,Boats,galleon,sailboat,left,right,galleon__g2,sail__s2
testDemog6,Trains,bullettrain,commutertrain,left,right,bullet__n02917067_137,commuter__n03078802_261
testDemog6,Dogs,malamute,schipperke,right,left,malamute__n02110063_49_obj1,schipperke__n02104365_9401_obj1
testDemog6,Dogs,chihuahua,mastiff,right,left,chihuahua__n02085620_1341_obj1,mastiff__n02108254_10037_obj1
testDemog6,Dogs,chihuahua,schipperke,left,right,chihuahua__n02085620_1341_obj1,schipperke__n02104365_9401_obj1
testDemog6,Dogs,schnauzer,welsh,left,right,schnauzer__n02096756_9691_obj1,welsh__n02112826_1051_obj1
testDemog6,Cars,antique,sedan,left,right,antique__n03777568_308,sedan__n04166281_784
testDemog6,Dogs,mastiff,welsh,left,right,mastiff__n02108254_10037_obj1,welsh__n02112826_1051_obj1
testDemog6,Planes,glider,stealth,right,left,glider__n03439814_9440,stealth__n04308084_2009_obj1
testDemog6,Cars,mini,sedan,left,right,mini__n03770085_951,sedan__n04166281_784
testDemog6,Dogs,malamute,pug,left,right,malamute__n02110063_49_obj1,pug__n02110958_11958_obj1
testDemog6,Boats,battleship,cruiseliner,left,right,battle__n02812201_690,cruise__n3
testDemog6,Fish,angelfish,sturgeon,right,left,angel__4,sturgeon__6
testDemog6,Cars,limousine,sedan,left,right,limo__n03670208_21,sedan__n04166281_784
testDemog6,Trains,commutertrain,tram,right,left,commuter__n03078802_261,tram__n04335435_1332
testDemog6,Bird,cockateel,owl,right,left,cockateel__6n01819734_2414,owl__n01625562_1417
testDemog6,Planes,airliner,gyroplane,left,right,airliner__n02690373_6231_obj2,gyro__n02759387_16993_obj1
testDemog6,Trains,monorail,tram,left,right,mono__m3,tram__n04335435_1332
testDemog6,Boats,aircraftcarrier,battleship,right,left,carriern02687172_2042,battle__n02812201_690
testDemog6,Boats,aircraftcarrier,sailboat,right,left,carriern02687172_2042,sail__s2
testDemog6,Planes,fighter,stealth,right,left,fighter__n03335030_20998_obj1,stealth__n04308084_2009_obj1
testDemog6,Fish,flyingfish,sturgeon,right,left,flying__7,sturgeon__6
testDemog6,Cats,abyssinian,angora,right,left,abyss__4,angora__4
testDemog6,Planes,biplane,stealth,left,right,biplane__n02842573_21012_obj1,stealth__n04308084_2009_obj1
testDemog6,Trains,subway,trolley,left,right,subway__n04349306_1442,trolley__n04469813_3284
testDemog6,Cats,egyptian,siamese,right,left,egyptian__6,siamese__4
testDemog6,Dogs,malamute,mastiff,left,right,malamute__n02110063_49_obj1,mastiff__n02108254_10037_obj1
testDemog6,Planes,delta,glider,right,left,delta__n03174079_7968,glider__n03439814_9440
testDemog6,Cats,abyssinian,manx,left,right,abyss__4,manx__8
testDemog6,Dogs,chihuahua,komondor,right,left,chihuahua__n02085620_1341_obj1,komondor__n02105505_475_obj1
testDemog6,Boats,canoe,icebreaker,left,right,canoe__n02951358_1800,icebreaker__n03556992_1842
testDemog6,Planes,delta,seaplane,left,right,delta__n03174079_7968,seaplane__n04160586_13647_obj1
testDemog6,Trains,freighttrain,subway,right,left,freight__n03394480_1805,subway__n04349306_1442
testDemog6,Fish,clownfish,goldfish,right,left,clown__fish1,gold__5
testDemog6,Dogs,mastiff,schipperke,right,left,mastiff__n02108254_10037_obj1,schipperke__n02104365_9401_obj1
testDemog6,Cats,manx,tortishell,right,left,manx__8,tort__n02123242_14533
testDemog6,Fish,catfish,goldfish,right,left,catfish__8,gold__5
testDemog6,Dogs,komondor,mastiff,right,left,komondor__n02105505_475_obj1,mastiff__n02108254_10037_obj1
testDemog6,Trains,bullettrain,inclinerailway,left,right,bullet__n02917067_137,incline__i14
testDemog6,Cars,limousine,stationwagon,right,left,limo__n03670208_21,wagon__n02814533_248
testDemog6,Dogs,chihuahua,pug,left,right,chihuahua__n02085620_1341_obj1,pug__n02110958_11958_obj1
testDemog6,Cats,egyptian,persian,left,right,egyptian__6,persian__n02123394_4682
testDemog6,Dogs,pug,schipperke,left,right,pug__n02110958_11958_obj1,schipperke__n02104365_9401_obj1
testDemog6,Bird,hawk,hummingbird,left,right,hawk__n01605630_14899,humming__n01833805_1795
testDemog6,Boats,galleon,rowboat,right,left,galleon__g2,row__r9
testDemog6,Trains,freighttrain,inclinerailway,right,left,freight__n03394480_1805,incline__i14
testDemog6,Bird,ostrich,owl,right,left,ost__6,owl__n01625562_1417
testDemog6,Bird,hawk,owl,right,left,hawk__n01605630_14899,owl__n01625562_1417
testDemog6,Boats,aircraftcarrier,canoe,left,right,carriern02687172_2042,canoe__n02951358_1800
testDemog6,Cats,persian,sphynx,right,left,persian__n02123394_4682,spyhnx__-kitten-hungry
testDemog6,Boats,cruiseliner,galleon,right,left,cruise__n3,galleon__g2
testDemog6,Cats,siamese,sphynx,right,left,siamese__4,spyhnx__-kitten-hungry
testDemog6,Dogs,schipperke,schnauzer,right,left,schipperke__n02104365_9401_obj1,schnauzer__n02096756_9691_obj1
testDemog6,Boats,battleship,rowboat,left,right,battle__n02812201_690,row__r9
testDemog6,Fish,clownfish,pufferfish,left,right,clown__fish1,puffer__4
testDemog6,Planes,airliner,seaplane,right,left,airliner__n02690373_6231_obj2,seaplane__n04160586_13647_obj1
testDemog6,Bird,hen,ostrich,left,right,hen__n01514859_3061,ost__6
testDemog6,Cats,angora,tortishell,left,right,angora__4,tort__n02123242_14533
testDemog6,Boats,icebreaker,rowboat,right,left,icebreaker__n03556992_1842,row__r9
testDemog6,Trains,bullettrain,freighttrain,right,left,bullet__n02917067_137,freight__n03394480_1805
testDemog6,Dogs,komondor,malamute,right,left,komondor__n02105505_475_obj1,malamute__n02110063_49_obj1
testDemog6,Trains,monorail,subway,right,left,mono__m3,subway__n04349306_1442
testDemog6,Planes,gyroplane,seaplane,left,right,gyro__n02759387_16993_obj1,seaplane__n04160586_13647_obj1
testDemog6,Planes,biplane,seaplane,left,right,biplane__n02842573_21012_obj1,seaplane__n04160586_13647_obj1
testDemog6,Dogs,malamute,schnauzer,right,left,malamute__n02110063_49_obj1,schnauzer__n02096756_9691_obj1
testDemog6,Trains,inclinerailway,subway,right,left,incline__i14,subway__n04349306_1442
testDemog6,Cars,antique,stationwagon,left,right,antique__n03777568_308,wagon__n02814533_248
testDemog6,Fish,angelfish,clownfish,left,right,angel__4,clown__fish1
testDemog6,Trains,inclinerailway,monorail,left,right,incline__i14,mono__m3
