subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testChrome,Dogs,mastiff,schipperke,left,right,mastiff__n02108254_10947_obj1,schipperke__n02104365_4747_obj1
testChrome,Fish,angelfish,goldfish,right,left,angel__3,gold__4
testChrome,Trains,monorail,tram,right,left,mono__monorail2,tram__n04335435_287
testChrome,Fish,pufferfish,sturgeon,left,right,puffer__3,sturgeon__4
testChrome,Cars,racecar,sportscar,right,left,racing__n04037443_390,sports__n04285008_744
testChrome,Planes,seaplane,stealth,right,left,seaplane__n04160586_21667_obj1,stealth__n04308084_3427_obj1
testChrome,Bird,hawk,ostrich,left,right,hawk__6,ost__9
testChrome,Cats,manx,persian,right,left,manx__13,persian__n02123394_1602
testChrome,Boats,battleship,cruiseliner,left,right,battle__n02812201_45,cruise__n4
testChrome,Bird,cockateel,ostrich,right,left,cockateel__n01819734_13066,ost__9
testChrome,Bird,hen,swan,right,left,hen__n01514859_2221,swan__n01858441_4857
testChrome,Planes,delta,glider,right,left,delta__ndelta__1,glider__n03439814_15784
testChrome,Cats,egyptian,persian,right,left,egyptian__n02124075_3973,persian__n02123394_1602
testChrome,Cats,angora,sphynx,left,right,angora__n02123478_3206,spyhnx__5
testChrome,Boats,rowboat,sailboat,right,left,row__r7,sail__s12
testChrome,Cars,mini,stationwagon,right,left,minin03770085_185,wagon__n02814533_705
testChrome,Dogs,schnauzer,welsh,right,left,schnauzer__n02096756_11503_obj1,welsh__n02112826_1060_obj1
testChrome,Bird,hummingbird,swan,left,right,humming__n01833805_2891,swan__n01858441_4857
testChrome,Fish,angelfish,flyingfish,left,right,angel__3,flying__5
testChrome,Planes,fighter,stealth,left,right,fighter__n03335030_3991_obj1,stealth__n04308084_3427_obj1
testChrome,Planes,fighter,glider,right,left,fighter__n03335030_3991_obj1,glider__n03439814_15784
testChrome,Fish,angelfish,catfish,left,right,angel__3,catfish__7
testChrome,Cars,antique,limousine,right,left,antique__n03777568_24,limo__n03670208_182
testChrome,Cats,persian,tortishell,left,right,persian__n02123394_1602,tort__n02123242_2813
testChrome,Boats,canoe,galleon,right,left,canoe__n02951358_2402,galleon__n03411339_6291
testChrome,Dogs,komondor,schnauzer,left,right,komondor__n02105505_946_obj1,schnauzer__n02096756_11503_obj1
testChrome,Trains,commutertrain,subway,right,left,commuter__n03078802_560,subway__n04349306_291
testChrome,Dogs,komondor,mastiff,left,right,komondor__n02105505_946_obj1,mastiff__n02108254_10947_obj1
testChrome,Trains,bullettrain,trolley,right,left,bullet__n02917067_501,trolley__n04469813_1663
testChrome,Fish,flyingfish,pufferfish,left,right,flying__5,puffer__3
testChrome,Trains,freighttrain,subway,right,left,freight__n03394480_339,subway__n04349306_291
testChrome,Cats,abyssinian,siamese,right,left,abyss__n02124313_1489,siamese__n02123597_1141
