subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
unknown,Cats,persian,tortishell,left,right,persian__n02123394_2709,tort__n02123242_1192
unknown,Fish,catfish,pufferfish,left,right,catfish__12,puffer__8
unknown,Boats,canoe,icebreaker,right,left,canoe__n02951358_343,icebreaker__i9
unknown,Cats,egyptian,tortishell,right,left,egyptian__n02124075_10694,tort__n02123242_1192
unknown,Planes,airliner,biplane,right,left,airliner__a7,biplane__n02842573_5496_obj1
unknown,Trains,inclinerailway,trolley,left,right,incline__i10,trolley__n04335435_3104
unknown,Planes,seaplane,stealth,left,right,seaplane__n04160586_2413_obj1,stealth__n04308084_3800_obj1
unknown,Boats,battleship,galleon,right,left,battle__b8,galleon__n03411339_4090
unknown,Bird,cockateel,vulture,left,right,cockateel__5,vulture__n01616318_1798
unknown,Fish,angelfish,clownfish,right,left,angel__n02605936_34,clown__fish10
unknown,Dogs,chihuahua,schnauzer,left,right,chihuahua__n02085620_921_obj1,schnauzer__n02096756_10651_obj1
unknown,Fish,needlefish,sturgeon,left,right,aneed__13,sturgeon__10
unknown,Fish,catfish,goldfish,right,left,catfish__12,gold__10
unknown,Dogs,mastiff,pug,left,right,mastiff__n02108254_10063_obj1,pug__n02110958_13256_obj1
unknown,Dogs,chihuahua,pug,left,right,chihuahua__n02085620_921_obj1,pug__n02110958_13256_obj1
unknown,Cars,limousine,sportscar,left,right,limo__n03670208_65,sports__n04285008_434
unknown,Dogs,mastiff,schnauzer,right,left,mastiff__n02108254_10063_obj1,schnauzer__n02096756_10651_obj1
unknown,Trains,commutertrain,subway,right,left,commuter__n03078802_128,subway__n04349306_931
unknown,Planes,airliner,stealth,right,left,airliner__a7,stealth__n04308084_3800_obj1
unknown,Bird,hen,ostrich,right,left,hen__5,ost__5
unknown,Fish,flyingfish,needlefish,left,right,flying__11,aneed__13
unknown,Bird,hummingbird,swan,left,right,humming__n01833805_8383,swan__5
unknown,Fish,angelfish,sturgeon,left,right,angel__n02605936_34,sturgeon__10
unknown,Cats,abyssinian,persian,right,left,abyss__n02124313_595,persian__n02123394_2709
unknown,Fish,catfish,needlefish,right,left,catfish__12,aneed__13
unknown,Trains,subway,tram,right,left,subway__n04349306_931,tram__n04335435_1240
unknown,Bird,cockateel,owl,right,left,cockateel__5,owl__n01625562_692
unknown,Fish,catfish,sturgeon,left,right,catfish__12,sturgeon__10
unknown,Dogs,pug,schnauzer,left,right,pug__n02110958_13256_obj1,schnauzer__n02096756_10651_obj1
unknown,Boats,aircraftcarrier,galleon,left,right,carriern02687172_311,galleon__n03411339_4090
unknown,Boats,cruiseliner,sailboat,right,left,cruise__n03141327_1097,sail__s8
unknown,Trains,bullettrain,commutertrain,right,left,bullet__n02917067_75,commuter__n03078802_128
unknown,Fish,flyingfish,goldfish,right,left,flying__11,gold__10
unknown,Cats,manx,sphynx,left,right,manx__n02124484_1766,spyhnx__hairless
unknown,Bird,hummingbird,owl,left,right,humming__n01833805_8383,owl__n01625562_692
unknown,Trains,freighttrain,tram,left,right,freight__n03394480_1048,tram__n04335435_1240
unknown,Fish,goldfish,pufferfish,left,right,gold__10,puffer__8
unknown,Planes,fighter,glider,left,right,fighter__n03335030_6845_obj1,glider__n03439814_25312
unknown,Dogs,komondor,mastiff,left,right,komondor__n02105505_3634_obj1,mastiff__n02108254_10063_obj1
unknown,Boats,galleon,icebreaker,right,left,galleon__n03411339_4090,icebreaker__i9
unknown,Planes,delta,gyroplane,left,right,delta__n03174079_5496,gyro__n02759387_10099_obj1
unknown,Cars,sportscar,stationwagon,left,right,sports__n04285008_434,wagon__n02814533_64
unknown,Planes,biplane,glider,right,left,biplane__n02842573_5496_obj1,glider__n03439814_25312
unknown,Fish,catfish,flyingfish,left,right,catfish__12,flying__11
unknown,Dogs,malamute,schipperke,right,left,malamute__n02110063_4432_obj1,schipperke__n02104365_6395_obj1
unknown,Planes,airliner,delta,left,right,airliner__a7,delta__n03174079_5496
unknown,Planes,gyroplane,stealth,right,left,gyro__n02759387_10099_obj1,stealth__n04308084_3800_obj1
unknown,Trains,bullettrain,freighttrain,left,right,bullet__n02917067_75,freight__n03394480_1048
unknown,Bird,swan,vulture,right,left,swan__5,vulture__n01616318_1798
unknown,Cars,sedan,stationwagon,right,left,sedan__n04166281_69,wagon__n02814533_64
unknown,Bird,hawk,hen,right,left,hawk__n01605630_13517,hen__5
unknown,Dogs,malamute,schnauzer,right,left,malamute__n02110063_4432_obj1,schnauzer__n02096756_10651_obj1
unknown,Cats,angora,manx,left,right,angora__n02123478_12328,manx__n02124484_1766
unknown,Trains,inclinerailway,subway,right,left,incline__i10,subway__n04349306_931
unknown,Cats,sphynx,tortishell,left,right,spyhnx__hairless,tort__n02123242_1192
unknown,Bird,hummingbird,ostrich,right,left,humming__n01833805_8383,ost__5
unknown,Cars,limousine,stationwagon,right,left,limo__n03670208_65,wagon__n02814533_64
unknown,Planes,fighter,seaplane,right,left,fighter__n03335030_6845_obj1,seaplane__n04160586_2413_obj1
unknown,Planes,airliner,gyroplane,right,left,airliner__a7,gyro__n02759387_10099_obj1
unknown,Trains,monorail,subway,right,left,mono__m1,subway__n04349306_931
unknown,Cars,racecar,stationwagon,right,left,racing__n04037443_65,wagon__n02814533_64
unknown,Boats,cruiseliner,galleon,left,right,cruise__n03141327_1097,galleon__n03411339_4090
unknown,Trains,commutertrain,monorail,left,right,commuter__n03078802_128,mono__m1
unknown,Trains,bullettrain,trolley,right,left,bullet__n02917067_75,trolley__n04335435_3104
unknown,Dogs,komondor,schnauzer,right,left,komondor__n02105505_3634_obj1,schnauzer__n02096756_10651_obj1
unknown,Cats,siamese,tortishell,right,left,siamese__n02123597_4931,tort__n02123242_1192
unknown,Dogs,schipperke,schnauzer,left,right,schipperke__n02104365_6395_obj1,schnauzer__n02096756_10651_obj1
unknown,Cars,mini,minivan,left,right,mini__n03770085_20,mvan__n03770679_329
unknown,Trains,bullettrain,subway,left,right,bullet__n02917067_75,subway__n04349306_931
unknown,Boats,aircraftcarrier,battleship,right,left,carriern02687172_311,battle__b8
unknown,Cats,abyssinian,sphynx,left,right,abyss__n02124313_595,spyhnx__hairless
unknown,Cats,persian,sphynx,right,left,persian__n02123394_2709,spyhnx__hairless
unknown,Trains,commutertrain,freighttrain,left,right,commuter__n03078802_128,freight__n03394480_1048
unknown,Boats,battleship,rowboat,left,right,battle__b8,row__r1
unknown,Cats,manx,siamese,left,right,manx__n02124484_1766,siamese__n02123597_4931
unknown,Dogs,pug,schipperke,right,left,pug__n02110958_13256_obj1,schipperke__n02104365_6395_obj1
unknown,Bird,ostrich,swan,right,left,ost__5,swan__5
unknown,Boats,battleship,canoe,right,left,battle__b8,canoe__n02951358_343
unknown,Cars,minivan,racecar,left,right,mvan__n03770679_329,racing__n04037443_65
unknown,Fish,clownfish,goldfish,left,right,clown__fish10,gold__10
