subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testConsent,Planes,fighter,glider,right,left,fighter__a2,glider__n03439814_16594
testConsent,Trains,commutertrain,subway,right,left,commuter__n03078802_567,subway__n04349306_343
testConsent,Cars,mini,sportscar,right,left,minin03770085_184,sports__n04285008_573
testConsent,Boats,icebreaker,rowboat,left,right,icebreaker__n03556992_1963,row__r5
testConsent,Trains,bullettrain,tram,left,right,bullet__n02917067_513,tram__n04335435_329
testConsent,Dogs,schnauzer,welsh,left,right,schnauzer__n02096756_13469_obj1,welsh__n02112826_13237_obj1
testConsent,Cars,sportscar,stationwagon,left,right,sports__n04285008_573,wagon__n02814533_330
testConsent,Fish,flyingfish,pufferfish,right,left,flying__1,puffer__1
testConsent,Cats,egyptian,siamese,right,left,egyptian__n02124075_10694,siamese__n02123597_4931
testConsent,Cats,siamese,sphynx,right,left,siamese__n02123597_4931,spyhnx__hairless
testConsent,Dogs,chihuahua,pug,left,right,chihuahua__n02085620_7436_obj1,pug__n02110958_12692_obj1
testConsent,Cats,angora,manx,left,right,angora__n02123478_12328,manx__n02124484_1766
testConsent,Bird,hawk,vulture,right,left,hawk__n01605630_6816,vulture__n01616318_2501
testConsent,Fish,catfish,sturgeon,right,left,catfish__1,sturgeon__1
testConsent,Boats,canoe,cruiseliner,left,right,canoe__n02951358_537,cruise__n10
testConsent,Fish,clownfish,sturgeon,left,right,clown__-fish-picture-1,sturgeon__1
testConsent,Planes,biplane,gyroplane,right,left,biplane__n02842573_14961_obj1,gyro__n02759387_17666_obj1
testConsent,Fish,catfish,pufferfish,left,right,catfish__1,puffer__1
testConsent,Cars,antique,limousine,left,right,antique__n03777568_465,limo__n03670208_78
testConsent,Boats,canoe,icebreaker,left,right,canoe__n02951358_537,icebreaker__n03556992_1963
testConsent,Bird,hummingbird,swan,right,left,humming__n01833805_2650,swan__7
testConsent,Planes,airliner,biplane,right,left,airliner__a2,biplane__n02842573_14961_obj1
testConsent,Boats,battleship,cruiseliner,right,left,battle__n02812201_1695,cruise__n10
testConsent,Fish,angelfish,needlefish,left,right,angel__1,aneed__1
testConsent,Cars,limousine,racecar,left,right,limo__n03670208_78,racing__n04037443_297
testConsent,Trains,subway,tram,right,left,subway__n04349306_343,tram__n04335435_329
testConsent,Dogs,schipperke,welsh,right,left,schipperke__n02104365_683_obj1,welsh__n02112826_13237_obj1
testConsent,Dogs,pug,welsh,left,right,pug__n02110958_12692_obj1,welsh__n02112826_13237_obj1
testConsent,Cats,manx,sphynx,right,left,manx__n02124484_1766,spyhnx__hairless
testConsent,Planes,airliner,fighter,left,right,airliner__a2,fighter__a2
testConsent,Fish,catfish,goldfish,right,left,catfish__1,gold__1
testConsent,Cats,abyssinian,persian,right,left,abyss__n02124313_595,persian__n02123394_2709
testConsent,Bird,ostrich,vulture,right,left,ost__8,vulture__n01616318_2501
testConsent,Boats,battleship,rowboat,left,right,battle__n02812201_1695,row__r5
testConsent,Dogs,mastiff,schipperke,right,left,mastiff__n02108254_10310_obj1,schipperke__n02104365_683_obj1
testConsent,Fish,clownfish,pufferfish,right,left,clown__-fish-picture-1,puffer__1
testConsent,Trains,inclinerailway,monorail,right,left,incline__loookout-mt,mono__monorail3
testConsent,Cars,mini,racecar,right,left,minin03770085_184,racing__n04037443_297
testConsent,Planes,biplane,delta,left,right,biplane__n02842573_14961_obj1,delta__n03174079_4062
testConsent,Trains,bullettrain,freighttrain,right,left,bullet__n02917067_513,freight__n03394480_398
testConsent,Planes,glider,gyroplane,left,right,glider__n03439814_16594,gyro__n02759387_17666_obj1
testConsent,Cars,minivan,stationwagon,left,right,mvan__n03770679_59,wagon__n02814533_330
testConsent,Bird,swan,vulture,left,right,swan__7,vulture__n01616318_2501
testConsent,Planes,fighter,gyroplane,left,right,fighter__a2,gyro__n02759387_17666_obj1
testConsent,Boats,battleship,canoe,left,right,battle__n02812201_1695,canoe__n02951358_537
testConsent,Cats,egyptian,manx,right,left,egyptian__n02124075_10694,manx__n02124484_1766
testConsent,Planes,fighter,seaplane,left,right,fighter__a2,seaplane__n04160586_21255_obj1
testConsent,Trains,commutertrain,monorail,left,right,commuter__n03078802_567,mono__monorail3
testConsent,Boats,rowboat,sailboat,right,left,row__r5,sail__s11
testConsent,Planes,biplane,stealth,left,right,biplane__n02842573_14961_obj1,stealth__a13
testConsent,Trains,freighttrain,monorail,left,right,freight__n03394480_398,mono__monorail3
testConsent,Trains,freighttrain,inclinerailway,left,right,freight__n03394480_398,incline__loookout-mt
testConsent,Cats,abyssinian,tortishell,left,right,abyss__n02124313_595,tort__n02123242_1192
testConsent,Dogs,malamute,schipperke,right,left,malamute__n02110063_4103_obj1,schipperke__n02104365_683_obj1
testConsent,Cats,manx,persian,right,left,manx__n02124484_1766,persian__n02123394_2709
