subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testDemog7,Cats,angora,siamese,right,left,angora__1,siamese__1
testDemog7,Dogs,mastiff,welsh,right,left,mastiff__n02108254_10357_obj1,welsh__n02112826_970_obj1
testDemog7,Bird,hen,hummingbird,left,right,hen__n01514859_5996,humming__n01833805_4132
testDemog7,Cats,persian,tortishell,right,left,persian__1,tort__1
testDemog7,Trains,bullettrain,trolley,right,left,bullet__n02917067_71,trolley__n04335435_3062
testDemog7,Boats,battleship,cruiseliner,left,right,battle__n02812201_1695,cruise__n10
testDemog7,Cars,sportscar,stationwagon,left,right,sports__n04285008_792,wagon__n02814533_1215
testDemog7,Dogs,schnauzer,welsh,left,right,schnauzer__n02096756_11468_obj1,welsh__n02112826_970_obj1
testDemog7,Trains,bullettrain,tram,right,left,bullet__n02917067_71,tram__n04335435_1207
testDemog7,Boats,aircraftcarrier,rowboat,left,right,carriern02687172_1204,row__r5
testDemog7,Planes,fighter,seaplane,left,right,fighter__n03335030_3970_obj1,seaplane__n04160586_21131_obj1
testDemog7,Cats,angora,persian,right,left,angora__1,persian__1
testDemog7,Bird,ostrich,swan,right,left,ost__n01518878_2520,swan__n01858441_4756
testDemog7,Trains,monorail,subway,left,right,mono__las-vegas-monorail5,subway__n04349306_923
testDemog7,Fish,needlefish,pufferfish,left,right,aneed__10,puffer__5
testDemog7,Boats,icebreaker,sailboat,right,left,icebreaker__n03556992_1963,sail__s11
testDemog7,Boats,icebreaker,rowboat,left,right,icebreaker__n03556992_1963,row__r5
testDemog7,Dogs,malamute,pug,left,right,malamute__n02110063_5727_obj1,pug__n02110958_15352_obj1
testDemog7,Bird,hawk,owl,left,right,hawk__n01605630_2078,owl__n01625562_3320
testDemog7,Boats,cruiseliner,galleon,left,right,cruise__n10,galleon__n03411339_6119
testDemog7,Cats,egyptian,sphynx,left,right,egyptian__2,spyhnx___kitten_BabyRah23
testDemog7,Dogs,chihuahua,malamute,right,left,chihuahua__n02085620_574_obj1,malamute__n02110063_5727_obj1
testDemog7,Cats,manx,siamese,right,left,manx__1,siamese__1
testDemog7,Trains,inclinerailway,tram,right,left,incline__Chattanooga-incline__-Railway-630x420,tram__n04335435_1207
testDemog7,Cars,racecar,sportscar,left,right,racing__n04037443_1676,sports__n04285008_792
testDemog7,Planes,airliner,biplane,left,right,airliner__n02690373_7409_obj1,biplane__n02842573_784_obj1
testDemog7,Dogs,komondor,mastiff,right,left,komondor__n02105505_938_obj1,mastiff__n02108254_10357_obj1
testDemog7,Bird,hen,owl,left,right,hen__n01514859_5996,owl__n01625562_3320
testDemog7,Planes,biplane,fighter,right,left,biplane__n02842573_784_obj1,fighter__n03335030_3970_obj1
testDemog7,Fish,catfish,goldfish,left,right,catfish__9,gold__6
testDemog7,Cars,antique,racecar,right,left,antique__n03777568_92,racing__n04037443_1676
testDemog7,Boats,aircraftcarrier,sailboat,right,left,carriern02687172_1204,sail__s11
testDemog7,Dogs,chihuahua,welsh,left,right,chihuahua__n02085620_574_obj1,welsh__n02112826_970_obj1
testDemog7,Planes,delta,fighter,right,left,delta__n03174079_9367,fighter__n03335030_3970_obj1
testDemog7,Boats,galleon,sailboat,right,left,galleon__n03411339_6119,sail__s11
testDemog7,Cars,racecar,sedan,right,left,racing__n04037443_1676,sedan__n04166281_219
testDemog7,Cats,persian,sphynx,right,left,persian__1,spyhnx___kitten_BabyRah23
testDemog7,Bird,hen,vulture,right,left,hen__n01514859_5996,vulture__n01616318_7196
testDemog7,Fish,flyingfish,sturgeon,left,right,flying__8,sturgeon__7
testDemog7,Trains,commutertrain,freighttrain,left,right,commuter__n03078802_105,freight__n03394480_943
testDemog7,Boats,battleship,rowboat,right,left,battle__n02812201_1695,row__r5
testDemog7,Boats,canoe,sailboat,right,left,canoe__n02951358_537,sail__s11
testDemog7,Dogs,malamute,schipperke,right,left,malamute__n02110063_5727_obj1,schipperke__n02104365_4190_obj1
testDemog7,Bird,cockateel,vulture,right,left,cockateel__n01819734_16507,vulture__n01616318_7196
testDemog7,Planes,delta,stealth,left,right,delta__n03174079_9367,stealth__n04308084_2728_obj1
testDemog7,Dogs,pug,welsh,left,right,pug__n02110958_15352_obj1,welsh__n02112826_970_obj1
testDemog7,Planes,airliner,glider,left,right,airliner__n02690373_7409_obj1,glider__n03439814_13163
testDemog7,Fish,catfish,needlefish,right,left,catfish__9,aneed__10
testDemog7,Dogs,malamute,welsh,right,left,malamute__n02110063_5727_obj1,welsh__n02112826_970_obj1
