Image,category,Question_ID,subcategory,ID
cockateel__1,Bird,17,cockateel,a
hawk__4,Bird,17,hawk,a
hen__5,Bird,17,hen,a
humming__n01833805_13063,Bird,17,hummingbird,a
ost__8,Bird,17,ostrich,a
owl__n01625562_692,Bird,17,owl,a
swan__6,Bird,17,swan,a
vulture__n01616318_1798,Bird,17,vulture,a
angora__1,Cats,17,angora,c
abyss__n02124313_305,Cats,17,abyssinian,c
egyptian__n02124075_5349,Cats,17,egyptian,c
manx__9,Cats,17,manx,c
persian__2,Cats,17,persian,c
siamese__4,Cats,17,siamese,c
spyhnx__,Cats,17,sphynx,c
tort__2,Cats,17,tortishell,c
chihuahua__n02085620_4266_obj1,Dogs,17,chihuahua,d
komondor__n02105505_4329_obj1,Dogs,17,komondor,d
malamute__n02110063_5828_obj1,Dogs,17,malamute,d
mastiff__n02108254_6555_obj1,Dogs,17,mastiff,d
pug__n02110958_15352_obj1,Dogs,17,pug,d
schipperke__n02104365_4747_obj1,Dogs,17,schipperke,d
schnauzer__n02096756_7246_obj1,Dogs,17,schnauzer,d
welsh__n02112826_1051_obj1,Dogs,17,welsh,d
angel__4,Fish,17,angelfish,e
catfish__6,Fish,17,catfish,e
clown__fish9,Fish,17,clownfish,e
flying__1,Fish,17,flyingfish,e
gold__n01443537_522,Fish,17,goldfish,e
aneed__8,Fish,17,needlefish,e
puffer__n02655020_438,Fish,17,pufferfish,e
sturgeon__3,Fish,17,sturgeon,e
carriern02687172_2042,Boats,17,aircraftcarrier,f
battle__b2,Boats,17,battleship,f
canoe__c3,Boats,17,canoe,f
cruise__n3,Boats,17,cruiseliner,f
galleon__g2,Boats,17,galleon,f
icebreaker__n03556992_2857,Boats,17,icebreaker,f
row__n03199901_9609,Boats,17,rowboat,f
sail__s10,Boats,17,sailboat,f
antique__n03777568_267,Cars,17,antique,g
limo__n03670208_647,Cars,17,limousine,g
minin03770085_185,Cars,17,mini,g
mvan__n03770679_184,Cars,17,minivan,g
racing__n04037443_428,Cars,17,racecar,g
sedan__n04166281_298,Cars,17,sedan,g
sports__n04285008_434,Cars,17,sportscar,g
wagon__n02814533_1040,Cars,17,stationwagon,g
airliner__n02690373_1161_obj1,Planes,17,airliner,b
biplane__n02842573_6752_obj1,Planes,17,biplane,b
delta__n03174079_1199,Planes,17,delta,b
fighter__n03335030_5119_obj1,Planes,17,fighter,b
glider__n03439814_5694,Planes,17,glider,b
gyro__n02759387_17402_obj1,Planes,17,gyroplane,b
seaplane__n04160586_22545_obj1,Planes,17,seaplane,b
stealth__a15,Planes,17,stealth,b
bullet__n02917067_276,Trains,17,bullettrain,h
commuter__n03078802_261,Trains,17,commutertrain,h
freight__n03394480_339,Trains,17,freighttrain,h
incline__i13,Trains,17,inclinerailway,h
mono__m4,Trains,17,monorail,h
subway__n04349306_923,Trains,17,subway,h
tram__n04335435_1332,Trains,17,tram,h
trolley__n04335435_879,Trains,17,trolley,h
